,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state
0,2500,2500, 36 months,13.56,84.92,C,C1,Chef,10+ years,RENT,55000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,109xx,NY
1,30000,30000, 60 months,18.94,777.23,D,D2,Postmaster ,10+ years,MORTGAGE,90000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,713xx,LA
2,5000,5000, 36 months,17.97,180.69,D,D1,Administrative,6 years,MORTGAGE,59280.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,490xx,MI
3,4000,4000, 36 months,18.94,146.51,D,D2,IT Supervisor,10+ years,MORTGAGE,92000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,985xx,WA
4,30000,30000, 60 months,16.14,731.78,C,C4,Mechanic,10+ years,MORTGAGE,57250.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,212xx,MD
5,5550,5550, 36 months,15.02,192.45,C,C3,Director COE,10+ years,MORTGAGE,152500.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,461xx,IN
6,2000,2000, 36 months,17.97,72.28,D,D1,Account Manager,4 years,RENT,51000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,606xx,IL
7,6000,6000, 36 months,13.56,203.79,C,C1,Assistant Director,10+ years,RENT,65000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,460xx,IN
8,5000,5000, 36 months,17.97,180.69,D,D1,Legal Assistant III,10+ years,MORTGAGE,53580.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,327xx,FL
9,6000,6000, 36 months,14.47,206.44,C,C2,Legal Assistant III,< 1 year,OWN,300000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,068xx,CT
10,5500,5500, 36 months,22.35,211.05,D,D5,Legal Assistant III,< 1 year,MORTGAGE,50000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,711xx,LA
11,28000,28000, 60 months,11.31,613.13,B,B3,Consultant,2 years,MORTGAGE,70000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,300xx,GA
12,11200,11200, 36 months,8.19,351.95,A,A4,Job Coach Supervisor,10+ years,MORTGAGE,65000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,840xx,UT
13,6500,6500, 36 months,17.97,234.9,D,D1,Quality Field Engineer,4 years,MORTGAGE,154000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,278xx,NC
14,22000,22000, 60 months,12.98,500.35,B,B5,Teller ,10+ years,MORTGAGE,86407.40846679515,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,413xx,KY
15,3500,3500, 36 months,16.14,123.3,C,C4,respritory therapist,10+ years,MORTGAGE,80000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,604xx,IL
16,7000,7000, 36 months,12.98,235.8,B,B5,Worship Director,4 years,MORTGAGE,102500.0,Not Verified,Dec-18,Current,house,Home buying,436xx,OH
17,25000,25000, 60 months,16.91,620.11,C,C5,Processor ,10+ years,MORTGAGE,23878.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,453xx,OH
18,16000,16000, 60 months,20.89,431.87,D,D4,Neonatal Nurse Practitioner,4 years,MORTGAGE,86407.40846679515,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,720xx,AR
19,13000,13000, 60 months,14.47,305.67,C,C2,Stationary Engineer,10+ years,MORTGAGE,75000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,741xx,OK
20,10000,10000, 36 months,13.56,339.65,C,C1,Stationary Engineer,< 1 year,MORTGAGE,65000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,937xx,CA
21,13000,13000, 36 months,14.47,447.29,C,C2,Exhibits director,10+ years,MORTGAGE,55000.0,Verified,Dec-18,Current,credit_card,Credit card refinancing,611xx,IL
22,9600,9600, 36 months,23.4,373.62,E,E1,driver coordinator ,9 years,RENT,65000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,265xx,WV
23,3500,3500, 36 months,20.89,131.67,D,D4,gas attendant,10+ years,RENT,40000.0,Source Verified,Dec-18,Current,car,Car financing,078xx,NJ
24,16000,16000, 60 months,26.31,481.99,E,E4,Financial Relationship Associate,< 1 year,RENT,33000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,290xx,SC
